Id,TPSScenarioTypeID,DataFeedDescription,VendorName,Addressee,VendorEmail,ClientEmail,SHYFTEmail,ReplyTo,CopyRecipients,BlindCopyRecipients,VendorSpecificMessage,Active,InsertDate
NULL,9515,Status,Walgreens,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9546,Dispense,Walgreens,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9550,Control,Walgreens,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9512,Status,Amber,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9539,Dispense,Amber,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9543,Control,Amber,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9558,Status,Accredo,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9559,Dispense,Accredo,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9561,Control,Accredo,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9502,Status,Acaria,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9533,Dispense,Acaria,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9537,Control,Acaria,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9562,Status,CVS,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9563,Dispense,CVS,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
NULL,9565,Control,CVS,person,afennessy@shyftanalytics.com,,shyftapplicationservices@medidata.com,shyftapplicationservices@medidata.com,,,,,
